name,startDate,endDate,city,state,image,icon,website
HackUPC,2016-10-07,2016-10-09,Barcelona,Spain,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/431/thumb/384cfc46cfd2-barcelona_spain_1.jpg?1472739614,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/431/thumb/f8ebe2f12125-mini_logo_fall_mlh.png?1472739614,https://hackupc.com/
Do You Have The GUTS,2016-10-14,2016-10-16,Glasgow,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/466/thumb/guts_splash.jpg?1474989270,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/466/thumb/guts_logo.png?1474989269,http://gutechsoc.com/
HackSheffield,2016-10-15,2016-10-16,Sheffield,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/419/thumb/sheffield_splash.png?1471620209,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/419/thumb/sheffield_logo.png?1471620209,https://www.hacksheffield.co/
JacobsHack!,2016-10-15,2016-10-16,Bremen,Germany,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/434/thumb/f4785ffe292f-JacobsHack_BG.jpg?1472972370,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/434/thumb/5e00c94e0d20-JacobsHack_Logo.jpg?1472972370,https://2016f.jacobshack.com/
BrumHack,2016-10-29,2017-10-30,Birmingham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/418/thumb/55217073c7ff-oldjoebhcollat.jpg?1471620207,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/418/thumb/brumhack.jpg?1474373969,https://www.brumhack.co.uk/
AstonHack,2016-11-05,2016-11-06,Birmingham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/452/thumb/astonhack_splash.png?1473775279,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/452/thumb/Astonhack_logo.png?1473775279,http://astonhack.co.uk/
GreatUniHack,2016-11-12,2016-11-13,Manchester,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/483/thumb/fdaa486c5f08-09_02_12_09_236928_0004.JPG?1476727497,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/483/thumb/d99f0dda3e46-GuH_no_text.png?1476727496,http://2016f.greatunihack.com/
LauzHack,2016-11-19,2016-11-20,Lausanne,Switzerland,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/420/thumb/lauslake.jpg?1471620571,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/420/thumb/logo.png?1474374273,http://lauzhack.com/
OxfordHack,2016-11-19,2016-11-20,Oxford,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/459/thumb/oxford_splash.png?1474473382,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/459/thumb/oxford_logo.png?1474473382,http://www.oxfordhack.com/
Junction,2016-11-25,2016-11-27,Helsinki,Finland,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/415/thumb/22a375a62a0a-photo480826695959554199.jpg?1471619945,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/415/thumb/junctionlogo.jpg?1471619945,http://hackjunction.com/
HackKing's,2016-11-26,2016-11-27,London,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/416/thumb/hackking_splash.png?1471619945,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/416/thumb/hackking_logo.png?1471619945,http://hackkings.org/
HackNotts,2016-11-26,2016-11-27,Nottingham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/417/thumb/notts_splash.png?1471620116,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/417/thumb/notts_logo.png?1471620116,http://hacknotts.com/
"Ready, Steady, Code",2016-11-26,2016-11-27,Varaždin,Croatia,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/478/thumb/a9204b0e3422-varazdin.png?1476116593,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/478/thumb/fd1ca3cd3bb4-RSC_logo.png?1476116593,http://rsc.hr/
Local Hack Day,2016-12-03,2016-12-03,Everywhere,Worldwide,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/397/thumb/lhd-back.png?1468939593,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/397/thumb/lhd_front.png?1468939592,https://localhackday.mlh.io/
HackSociety,2016-12-08,2016-12-10,Bucharest,Romania,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/472/thumb/before-event-bg.jpg?1475681232,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/472/thumb/1ee7cb076348-mlh.jpg?1475681231,http://hacksociety.it/
Porticode,2016-12-10,2016-12-11,London,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/528/thumb/3e560893e194-porticode_splashimage.jpg?1478570242,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/528/thumb/24fe36539651-mlhlogo.jpg?1478570241,http://porticode.io/
Hack the Holidays 2,2016-12-17,2016-12-18,Peterborough,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/488/thumb/19ad194ee5eb-Splash.png?1477334171,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/488/thumb/05fd28db249f-Logo.png?1477334170,https://hacktheholidays.io/
EXHACK,2017-01-27,2017-01-29,Exeter,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/584/thumb/exhack_splash.png?1483985975,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/584/thumb/exhack_logo.png?1483985974,http://exeterentrepreneurs.com/exhack/
DurHack,2017-01-28,2017-01-29,Durham,UK,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/574/thumb/698e02063403-splash.jpg?1483443731,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/574/thumb/f397e2dea19b-icon.png?1483443730,http://durhack.com/
