name,startDate,endDate,city,state,image,icon,website
Local Hack Day,2016-12-02,2016-12-02,Everywhere,Worldwide,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/803/thumb/lhdsplash.png?1510005022,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/803/thumb/lhdlogo.png?1510005022,https://localhackday.mlh.io/
HackMTY,2017-08-26,2017-08-27,Monterrey,MX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/687/thumb/hackmty_splash.png?1500043316,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/687/thumb/hackmty_logo.png?1500043316,http://hackmty.com/
MedHacks,2017-09-08,2017-09-10,Baltimore,MD,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/696/thumb/MedHacks_Logo-06.jpg?1500587443,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/696/thumb/MedHacks_Logo-04.jpg?1500587443,http://medhacks.org/
PennApps,2017-09-08,2017-09-10,Philadelphia,PA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/722/thumb/pennapps_splash.jpeg?1502659980,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/722/thumb/pennapps_spylogo.png?1502659979,http://2017f.pennapps.com/
BigRed//Hacks,2017-09-15,2017-09-17,Ithaca,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/684/thumb/bigred_splash.png?1500042878,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/684/thumb/bigred_logo.png?1500042878,https://bigredhacks.com/
Hack the North,2017-09-15,2017-09-17,Waterloo,ON,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/693/thumb/1311a958833a-Image.jpg?1500306839,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/693/thumb/18519751_1810460902313819_2772441558220430124_n.png?1500306839,https://hackthenorth.com/
HopHacks,2017-09-15,2017-09-17,Baltimore,MD,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/711/thumb/HopHacks.png?1501760394,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/711/thumb/HopHacksimage.jpg?1501760394,https://hophacks.com/
HackUIowa,2017-09-16,2017-09-17,Iowa City,IA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/697/thumb/capitol300x300.jpg?1500606063,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/697/thumb/UIOWA_Hackathon_logo_2017_100x100.png?1500606063,http://bigdata.uiowa.edu/
lumohacks,2017-09-16,2017-09-17,Vancouver,BC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/733/thumb/734254bc929709d3aade9c03e02195e57f9824d5.jpeg?1504629957,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/733/thumb/lumohacks_logo.jpg?1503507335,http://lumohacks.com/
RamHacks,2017-09-16,2017-09-17,Richmond,VA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/716/thumb/ramhacks_bg.jpg?1502208425,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/716/thumb/ramhacks_logo.jpg?1502208424,http://ramhacks.vcu.edu/
HackRice,2017-09-22,2017-09-24,Houston,TX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/680/thumb/hackrice_splash.png?1500042524,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/680/thumb/hackrice_logo.png?1500042524,http://hack.rice.edu/
MHacks X,2017-09-22,2017-09-24,Ann Arbor,MI,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/689/thumb/Splash_Image.png?1500047691,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/689/thumb/Profile_Picture.png?1500047690,https://mhacks.org/
HackState,2017-09-23,2017-09-24,Starkville,MS,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/698/thumb/HackStatebackground.jpg?1500641141,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/698/thumb/HackState.png?1500641141,http://hackstate.org/
HAkron,2017-09-23,2017-09-24,Akron,OH,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/743/thumb/flower300x300.png?1504282494,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/743/thumb/hakronsmalllogo.png?1504282494,http://hakron.io/
BoilerMake,2017-09-29,2017-10-01,West Lafayette,IN,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/715/thumb/splash_1_.png?1502205705,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/715/thumb/bm_logo_mlh-01.png?1502205705,https://boilermake.org/
HackMerced,2017-09-29,2017-10-01,Merced,CA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/704/thumb/damonteucmercedcob2.jpg?1501517147,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/704/thumb/100by300.png?1501517146,https://hackmerced.com
ShellHacks,2017-09-29,2017-10-01,Miami,FL,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/714/thumb/shell_bg_mlh.png?1502125405,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/714/thumb/shell_small_mlh.png?1502125405,https://shellhacks.net/
DiamondHacks,2017-09-30,2017-10-01,Raleigh,NC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/708/thumb/mlh_dh_back.png?1501594753,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/708/thumb/mlh_dh_logo.png?1501594753,https://www.ncsudiamondhacks.com/
EduHacks,2017-09-30,2017-10-01,Vancouver,BC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/699/thumb/EduSplash.png?1500724057,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/699/thumb/EduHacksLogo.jpg?1500724057,https://eduhacks.com/
GrizzHacks 2,2017-09-30,2017-10-01,Rochester,MI,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/707/thumb/Grizzhacksmlh2.png?1501524427,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/707/thumb/GrizzHacksmlh.png?1501524427,http://grizzhacks.com/#
HackUTA,2017-09-30,2017-10-01,Arlington,TX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/713/thumb/hackutasplash.png?1502125083,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/713/thumb/uta_lgoo.png?1506029129,http://hackuta.com/
Cal Hacks 4.0,2017-10-06,2017-10-08,Berkeley,CA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/720/thumb/calhacksbackground.png?1502914939,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/720/thumb/calhackslogoddoski100x.png?1502914939,https://calhacks.io/
